01001,"Butter, salted"
01002,"Butter, whipped, with salt"
01003,"Butter oil, anhydrous"
01004,"Cheese, blue"
01005,"Cheese, brick"
01006,"Cheese, brie"
01007,"Cheese, camembert"
01008,"Cheese, caraway"
01009,"Cheese, cheddar"
01010,"Cheese, cheshire"
01012,"Cheese, cottage, creamed, large or small curd"
01013,"Cheese, cottage, creamed, with fruit"
01014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd"
01015,"Cheese, cottage, lowfat, 2% milkfat"
01016,"Cheese, cottage, lowfat, 1% milkfat"
01017,"Cheese, cream"
01018,"Cheese, edam"
01019,"Cheese, feta"
01022,"Cheese, gouda"
01025,"Cheese, monterey"
01026,"Cheese, mozzarella, whole milk"
01027,"Cheese, mozzarella, whole milk, low moisture"
01028,"Cheese, mozzarella, part skim milk"
01029,"Cheese, mozzarella, low moisture, part-skim"
01032,"Cheese, parmesan, grated"
01033,"Cheese, parmesan, hard"
01036,"Cheese, ricotta, whole milk"
01037,"Cheese, ricotta, part skim milk"
01039,"Cheese, roquefort"
01040,"Cheese, swiss"
01049,"Cream, fluid, half and half"
01050,"Cream, fluid, light (coffee cream or table cream)"
01052,"Cream, fluid, light whipping"
01053,"Cream, fluid, heavy whipping"
01054,"Cream, whipped, cream topping, pressurized"
01055,"Cream, sour, reduced fat, cultured"
01056,"Cream, sour, cultured"
01057,Eggnog
01077,"Milk, whole, 3.25% milkfat, with added vitamin D"
01078,"Milk, producer, fluid, 3.7% milkfat"
01079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
01080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D"
01081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D"
01082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
01083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D"
01084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D"
01085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
01086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)"
01087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)"
01088,"Milk, buttermilk, fluid, cultured, lowfat"
01095,"Milk, canned, condensed, sweetened"
01096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
01097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
01102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D"
01103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D"
01106,"Milk, goat, fluid, with added vitamin D"
01116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
01117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
01118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce"
01124,"Egg, white, raw, fresh"
01125,"Egg, yolk, raw, fresh"
01138,"Egg, duck, whole, fresh, raw"
01139,"Egg, goose, whole, fresh, raw"
01140,"Egg, quail, whole, fresh, raw"
01141,"Egg, turkey, whole, fresh, raw"
01145,"Butter, without salt"
01146,"Cheese, parmesan, shredded"
01151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
01153,"Milk, canned, evaporated, with added vitamin A"
01156,"Cheese, goat, hard type"
01157,"Cheese, goat, semisoft type"
01159,"Cheese, goat, soft type"
01178,"Sour cream, reduced fat"
01179,"Sour cream, light"
01180,"Sour cream, fat free"
01186,"Cheese, cream, fat free"
01225,Dulce de Leche
01230,"Milk, buttermilk, fluid, whole"
01236,"Ice cream, soft serve, chocolate"
01256,"Yogurt, Greek, plain, nonfat"
01284,"Yogurt, Greek, strawberry, lowfat"
01285,"Yogurt, Greek, strawberry, nonfat"
01286,"Yogurt, Greek, vanilla, nonfat"
01287,"Yogurt, Greek, plain, lowfat"
01289,"Kefir, lowfat, plain, LIFEWAY"
