01001,"Butter, salted","Masło, solone",gram,35794,gram
01001,"Butter, salted","Masło, solone","pat (1"" sq, 1/3"" high)",35795,kawałek
01001,"Butter, salted","Masło, solone",tbsp,35796,łyżka
01001,"Butter, salted","Masło, solone",cup,35797,szklanka
01001,"Butter, salted","Masło, solone",stick,35798,kostka
01002,"Butter, whipped, with salt","Masło, bite, solone",gram,35799,gram
01002,"Butter, whipped, with salt","Masło, bite, solone","pat (1"" sq, 1/3"" high)",35800,kawałek
01002,"Butter, whipped, with salt","Masło, bite, solone",tbsp,35801,łyżka
01002,"Butter, whipped, with salt","Masło, bite, solone",cup,35802,szklanka
01002,"Butter, whipped, with salt","Masło, bite, solone",stick,35803,kostka
01003,"Butter oil, anhydrous","Olej maślany, bezwodny",gram,35804,gram
01003,"Butter oil, anhydrous","Olej maślany, bezwodny",tbsp,35805,łyżka
01003,"Butter oil, anhydrous","Olej maślany, bezwodny",cup,35806,szklanka
01004,"Cheese, blue","Ser, niebieski",gram,35807,gram
01004,"Cheese, blue","Ser, niebieski",oz,35808,uncja (28 gram)
01004,"Cheese, blue","Ser, niebieski",cubic inch,35809,cal sześcienny
01004,"Cheese, blue","Ser, niebieski","cup, crumbled, not packed",35810,"szklanka, pokruszony"
01005,"Cheese, brick","Ser, żółty",gram,35811,gram
01005,"Cheese, brick","Ser, żółty","cup, diced",35812,"szklanka, pokrojony w kostkę"
01005,"Cheese, brick","Ser, żółty","cup, shredded",35813,"szklanka, poszatkowany"
01005,"Cheese, brick","Ser, żółty",oz,35814,uncja (28 gram)
01005,"Cheese, brick","Ser, żółty",cubic inch,35815,cal sześcienny
01005,"Cheese, brick","Ser, żółty",slice (1 oz),35816,plaster (28 g)
01006,"Cheese, brie",Ser Brie,gram,35817,gram
01006,"Cheese, brie",Ser Brie,oz,35818,uncja (28 gram)
01006,"Cheese, brie",Ser Brie,"cup, sliced",35819,"szklanka, pokrojony"
01006,"Cheese, brie",Ser Brie,"cup, melted",35820,"szklanka, topiony"
01006,"Cheese, brie",Ser Brie,cubic inch,35821,cal sześcienny
01006,"Cheese, brie",Ser Brie,package (4.5 oz),35822,paczka (130 gram)
01007,"Cheese, camembert",Ser Camembert,gram,35823,gram
01007,"Cheese, camembert",Ser Camembert,oz,35824,uncja (28 gram)
01007,"Cheese, camembert",Ser Camembert,cup,35825,szklanka
01007,"Cheese, camembert",Ser Camembert,cubic inch,35826,cal sześcienny
01007,"Cheese, camembert",Ser Camembert,wedge (1.33 oz),35827,klin (36 gram)
01008,"Cheese, caraway",Ser Caraway,gram,35828,gram
01008,"Cheese, caraway",Ser Caraway,oz,35829,uncja (28 gram)
01009,"Cheese, cheddar",Ser Cheddar,gram,35830,gram
01009,"Cheese, cheddar",Ser Cheddar,"cup, diced",35831,"szklanka, pokrojony w kostkę"
01009,"Cheese, cheddar",Ser Cheddar,"cup, melted",35832,"szklanka, topiony"
01009,"Cheese, cheddar",Ser Cheddar,"cup, shredded",35833,"szklanka, posiekany"
